Cryptocurrency,Date,Open,High,Low,Close,Adj Close,Volume,Volatility,R,Returns
Bitcoin,01/01/2018,14112.2002,14112.2002,13154.7002,13657.2002,13657.2002,10291200000,7%,,
Bitcoin,02/01/2018,13625,15444.59961,13163.59961,14982.09961,14982.09961,16846600192,16%,0.097011056,9.701105608
Bitcoin,03/01/2018,14978.2002,15572.7998,14844.5,15201,15201,16871900160,5%,0.014610795,1.46107953
Bitcoin,04/01/2018,15270.7002,15739.7002,14522.2002,15599.2002,15599.2002,21783199744,8%,0.026195658,2.619565787
Bitcoin,05/01/2018,15477.2002,17705.19922,15202.7998,17429.5,17429.5,23840899072,15%,0.117332926,11.73329262
Bitcoin,06/01/2018,17462.09961,17712.40039,16764.59961,17527,17527,18314600448,5%,0.005593964,0.559396426
Bitcoin,07/01/2018,17527.30078,17579.59961,16087.7002,16477.59961,16477.59961,15866000384,9%,-0.059873361,-5.987336057
Bitcoin,08/01/2018,16476.19922,16537.90039,14208.2002,15170.09961,15170.09961,18413899776,15%,-0.07935015,-7.935014996
Bitcoin,09/01/2018,15123.7002,15497.5,14424,14595.40039,14595.40039,16659999744,7%,-0.037883681,-3.788368129
Bitcoin,10/01/2018,14588.5,14973.2998,13691.2002,14973.2998,14973.2998,18500800512,9%,0.025891678,2.589167847
Bitcoin,11/01/2018,14968.2002,15018.7998,13105.90039,13405.7998,13405.7998,16534099968,14%,-0.104686343,-10.46863431
Bitcoin,12/01/2018,13453.90039,14229.90039,13158.09961,13980.59961,13980.59961,12065699840,8%,0.04287695,4.287694976
Bitcoin,13/01/2018,13952.40039,14659.5,13952.40039,14360.2002,14360.2002,12763599872,5%,0.027151953,2.715195317
Bitcoin,14/01/2018,14370.7998,14511.7998,13268,13772,13772,11084099584,9%,-0.040960445,-4.096044535
Bitcoin,15/01/2018,13767.2998,14445.5,13641.7002,13819.7998,13819.7998,12750799872,6%,0.003470796,0.347079616
Bitcoin,16/01/2018,13836.09961,13843.09961,10194.90039,11490.5,11490.5,18853799936,31%,-0.168548014,-16.85480135
Bitcoin,17/01/2018,11431.09961,11678,9402.290039,11188.59961,11188.59961,18830600192,22%,-0.026273912,-2.627391242
Bitcoin,18/01/2018,11198.7998,12107.2998,10942.5,11474.90039,11474.90039,15020399616,10%,0.025588616,2.55886162
Bitcoin,19/01/2018,11429.7998,11992.7998,11172.09961,11607.40039,11607.40039,10740400128,7%,0.011546941,1.154694119
Bitcoin,20/01/2018,11656.2002,13103,11656.2002,12899.2002,12899.2002,11801700352,12%,0.111291052,11.12910524
Bitcoin,21/01/2018,12889.2002,12895.90039,11288.2002,11600.09961,11600.09961,9935179776,13%,-0.100711716,-10.07117159
Bitcoin,22/01/2018,11633.09961,11966.40039,10240.2002,10931.40039,10931.40039,10537400320,16%,-0.057645989,-5.764598937
Bitcoin,23/01/2018,10944.5,11377.59961,10129.7002,10868.40039,10868.40039,9660609536,12%,-0.005763214,-0.576321402
Bitcoin,24/01/2018,10903.40039,11501.40039,10639.7998,11359.40039,11359.40039,9940989952,8%,0.045176841,4.517684133
Bitcoin,25/01/2018,11421.7002,11785.7002,11057.40039,11259.40039,11259.40039,8873169920,6%,-0.008803282,-0.880328156
Bitcoin,26/01/2018,11256,11656.7002,10470.2998,11171.40039,11171.40039,9746199552,11%,-0.007815692,-0.781569151
Bitcoin,27/01/2018,11174.90039,11614.90039,10989.2002,11440.7002,11440.7002,7583269888,6%,0.024106181,2.410618143
Bitcoin,28/01/2018,11475.2998,12040.2998,11475.2998,11786.2998,11786.2998,8350360064,5%,0.030207907,3.020790716
Bitcoin,29/01/2018,11755.5,11875.59961,11179.2002,11296.40039,11296.40039,7107359744,6%,-0.041565158,-4.156515804
Bitcoin,30/01/2018,11306.7998,11307.2002,10036.2002,10106.2998,10106.2998,8637859840,12%,-0.105352196,-10.53521958
Bitcoin,31/01/2018,10108.2002,10381.59961,9777.419922,10221.09961,10221.09961,8041160192,6%,0.011359232,1.135923205
Bitcoin,01/02/2018,10237.2998,10288.7998,8812.280273,9170.540039,9170.540039,9959400448,15%,-0.10278342,-10.27834196
Bitcoin,02/02/2018,9142.280273,9142.280273,7796.490234,8830.75,8830.75,12726899712,16%,-0.037052348,-3.70523478
Bitcoin,03/02/2018,8852.120117,9430.75,8251.629883,9174.910156,9174.910156,7263790080,13%,0.038972925,3.897292486
Bitcoin,04/02/2018,9175.700195,9334.870117,8031.220215,8277.009766,8277.009766,7073549824,15%,-0.097864761,-9.786476111
Bitcoin,05/02/2018,8270.540039,8364.839844,6756.680176,6955.27002,6955.27002,9285289984,21%,-0.159688074,-15.96880738
Bitcoin,06/02/2018,7051.75,7850.700195,6048.259766,7754,7754,13999800320,26%,0.114838098,11.48380981
Bitcoin,07/02/2018,7755.490234,8509.110352,7236.790039,7621.299805,7621.299805,9169280000,16%,-0.017113773,-1.711377293
Bitcoin,08/02/2018,7637.859863,8558.769531,7637.859863,8265.589844,8265.589844,9346750464,11%,0.084538078,8.453807822
Bitcoin,09/02/2018,8271.839844,8736.980469,7884.709961,8736.980469,8736.980469,6784820224,10%,0.057030488,5.703048831
Bitcoin,10/02/2018,8720.080078,9122.549805,8295.469727,8621.900391,8621.900391,7780960256,10%,-0.013171608,-1.317160758
Bitcoin,11/02/2018,8616.129883,8616.129883,7931.100098,8129.970215,8129.970215,6122189824,8%,-0.057055887,-5.705588716
Bitcoin,12/02/2018,8141.430176,8985.919922,8141.430176,8926.570313,8926.570313,6256439808,10%,0.097983151,9.798315081
Bitcoin,13/02/2018,8926.719727,8958.469727,8455.410156,8598.30957,8598.30957,5696719872,6%,-0.036773445,-3.677344497
Bitcoin,14/02/2018,8599.919922,9518.540039,8599.919922,9494.629883,9494.629883,7909819904,10%,0.104243782,10.42437825
Bitcoin,15/02/2018,9488.320313,10234.7998,9395.580078,10166.40039,10166.40039,9062540288,9%,0.07075268,7.075267979
Bitcoin,16/02/2018,10135.7002,10324.09961,9824.820313,10233.90039,10233.90039,7296159744,5%,0.006639518,0.663951816
Bitcoin,17/02/2018,10207.5,11139.5,10149.40039,11112.7002,11112.7002,8660880384,9%,0.085871444,8.587144404
Bitcoin,18/02/2018,11123.40039,11349.7998,10326,10551.7998,10551.7998,8744009728,9%,-0.050473817,-5.047381651
Bitcoin,19/02/2018,10552.59961,11273.7998,10513.2002,11225.2998,11225.2998,7652089856,7%,0.063827974,6.382797366
Bitcoin,20/02/2018,11231.7998,11958.5,11231.7998,11403.7002,11403.7002,9926540288,6%,0.015892706,1.58927061
Bitcoin,21/02/2018,11372.2002,11418.5,10479.09961,10690.40039,10690.40039,9405339648,9%,-0.062549856,-6.254985597
Bitcoin,22/02/2018,10660.40039,11039.09961,9939.089844,10005,10005,8040079872,10%,-0.064113631,-6.411363144
Bitcoin,23/02/2018,9937.070313,10487.2998,9734.55957,10301.09961,10301.09961,7739500032,7%,0.029595163,2.959516336
Bitcoin,24/02/2018,10287.7002,10597.2002,9546.969727,9813.070313,9813.070313,6917929984,10%,-0.047376427,-4.737642731
Bitcoin,25/02/2018,9796.419922,9923.219727,9407.05957,9664.730469,9664.730469,5706939904,5%,-0.015116558,-1.511655772
Bitcoin,26/02/2018,9669.429688,10475,9501.730469,10366.7002,10366.7002,7287690240,10%,0.072632106,7.263210586
Bitcoin,27/02/2018,10393.90039,10878.5,10246.09961,10725.59961,10725.59961,6966179840,6%,0.03462041,3.462041028
Bitcoin,28/02/2018,10687.2002,11089.7998,10393.09961,10397.90039,10397.90039,6936189952,6%,-0.030552998,-3.055299757
Bitcoin,01/03/2018,10385,11052.2998,10352.7002,10951,10951,7317279744,7%,0.053193394,5.319339372
Bitcoin,02/03/2018,10977.40039,11189,10850.09961,11086.40039,11086.40039,7620590080,3%,0.012364203,1.236420333
Bitcoin,03/03/2018,11101.90039,11528.2002,11002.40039,11489.7002,11489.7002,6690570240,5%,0.036377886,3.637788556
Bitcoin,04/03/2018,11497.40039,11512.59961,11136.09961,11512.59961,11512.59961,6084149760,3%,0.001993038,0.199303843
Bitcoin,05/03/2018,11532.40039,11704.09961,11443.90039,11573.2998,11573.2998,6468539904,2%,0.005272501,0.52725012
Bitcoin,06/03/2018,11500.09961,11500.09961,10694.2998,10779.90039,10779.90039,6832169984,7%,-0.068554295,-6.855429544
Bitcoin,07/03/2018,10803.90039,10929.5,9692.120117,9965.570313,9965.570313,8797910016,12%,-0.075541522,-7.554152159
Bitcoin,08/03/2018,9951.44043,10147.40039,9335.870117,9395.009766,9395.009766,7186089984,8%,-0.057253176,-5.725317558
Bitcoin,09/03/2018,9414.69043,9466.349609,8513.030273,9337.549805,9337.549805,8704190464,11%,-0.006116009,-0.611600864
Bitcoin,10/03/2018,9350.589844,9531.320313,8828.469727,8866,8866,5386319872,8%,-0.050500379,-5.050037907
Bitcoin,11/03/2018,8852.780273,9711.889648,8607.120117,9578.629883,9578.629883,6296370176,12%,0.080377835,8.037783474
Bitcoin,12/03/2018,9602.929688,9937.5,8956.429688,9205.120117,9205.120117,6457399808,10%,-0.03899407,-3.899407015
Bitcoin,13/03/2018,9173.040039,9470.379883,8958.19043,9194.849609,9194.849609,5991139840,6%,-0.001115739,-0.11157386
Bitcoin,14/03/2018,9214.650391,9355.849609,8068.589844,8269.80957,8269.80957,6438230016,15%,-0.100604151,-10.06041511
Bitcoin,15/03/2018,8290.759766,8428.349609,7783.049805,8300.860352,8300.860352,6834429952,8%,0.003754715,0.375471539
Bitcoin,16/03/2018,8322.910156,8585.150391,8005.310059,8338.349609,8338.349609,5289379840,7%,0.00451631,0.45163099
Bitcoin,17/03/2018,8321.910156,8346.530273,7812.819824,7916.879883,7916.879883,4426149888,7%,-0.050545941,-5.05459409
Bitcoin,18/03/2018,7890.52002,8245.509766,7397.990234,8223.679688,8223.679688,6639190016,11%,0.038752616,3.875261583
Bitcoin,19/03/2018,8344.120117,8675.870117,8182.399902,8630.650391,8630.650391,6729110016,6%,0.049487665,4.948766472
Bitcoin,20/03/2018,8619.669922,9051.019531,8389.889648,8913.469727,8913.469727,6361789952,8%,0.03276918,3.276917997
