Date,BTC-GBP,XRP-GBP
1/3/2021,23498.41992,0.162176
1/4/2021,23982.24414,0.165216
1/5/2021,23562.76172,0.174369
1/6/2021,24959.46289,0.166476
1/7/2021,27035.84375,0.184178
1/8/2021,29023.02148,0.240316
1/9/2021,30071.30273,0.238246
1/10/2021,29674,0.24093
1/11/2021,28365.77148,0.235188
1/12/2021,26263.03516,0.213466
1/13/2021,24815.32031,0.213674
1/14/2021,27349.11328,0.223875
1/15/2021,28617.99414,0.216019
1/16/2021,27106.55078,0.206339
1/17/2021,26613.4082,0.206106
1/18/2021,26374.4043,0.204388
1/19/2021,26977.07422,0.209697
1/20/2021,26421.45117,0.215635
1/21/2021,26012.16992,0.21693
1/22/2021,22447.74219,0.195778
1/23/2021,24109.58594,0.199254
1/24/2021,23436.14063,0.19869
1/25/2021,23591.00781,0.199825
1/26/2021,23659.80859,0.196722
1/27/2021,23700.16602,0.195674
1/28/2021,22267.4082,0.184274
1/29/2021,25005.16797,0.197113
1/30/2021,25010.72266,0.205763
1/31/2021,25008.86523,0.319504
2/1/2021,24175.82617,0.359567
2/2/2021,24520.21484,0.270933
2/3/2021,25997.79102,0.270415
2/4/2021,27454.07422,0.288211
2/5/2021,27011.91797,0.325713
2/6/2021,27764.28906,0.327709
2/7/2021,28573.66797,0.31968
2/8/2021,28305.41016,0.304088
2/9/2021,33599.71875,0.325674
2/10/2021,33635.74219,0.341584
2/11/2021,32462.48633,0.363715
2/12/2021,34664.69531,0.379849
2/13/2021,34305.26953,0.439265
2/14/2021,34037.35938,0.454017
2/15/2021,35109.27734,0.427869
2/16/2021,34455.23828,0.394247
2/17/2021,35438.6875,0.375075
2/18/2021,37603.60156,0.385908
2/19/2021,36998.08984,0.3813
2/20/2021,39903.89453,0.404758
2/21/2021,40010.41797,0.368844
2/22/2021,41013.65234,0.390887
2/23/2021,38531.41016,0.405886
2/24/2021,34587.69531,0.335855
2/25/2021,35138.80469,0.333493
2/26/2021,33692.70313,0.310602
2/27/2021,33267.80859,0.307164
2/28/2021,33173.44922,0.314373
3/1/2021,32316.45703,0.297055
3/2/2021,35617.96875,0.320552
3/3/2021,34695.74219,0.313093
3/4/2021,36291.48438,0.32329
3/5/2021,34927.47656,0.349678
3/6/2021,35343.77734,0.330938
3/7/2021,35357.83594,0.336165
3/8/2021,36946.48438,0.337082
3/9/2021,37818.34375,0.342744
3/10/2021,39477.62109,0.349889
3/11/2021,40173.78516,0.332405
3/12/2021,41337.48828,0.323852
3/13/2021,41195.30469,0.316892
3/14/2021,43981.07813,0.330198
3/15/2021,42547.19922,0.317368
3/16/2021,40178.33984,0.314755
3/17/2021,40876.41016,0.332921
3/18/2021,42140.47266,0.33801
3/19/2021,41549.80469,0.339576
3/20/2021,42047.58594,0.339586
3/21/2021,42040.33984,0.380257
