Stockname,Date,Open,Volume,Returns
DAX,02/01/2018,12897.69043,86049300,0.263007813
DAX,03/01/2018,12916.17969,84809300,-0.620302734
DAX,04/01/2018,13065.98047,101199400,-1.019091797
DAX,05/01/2018,13219.11035,112555000,-1.005292969
DAX,08/01/2018,13399.62012,95005300,0.318398438
DAX,09/01/2018,13383.25977,94770400,-0.023300781
DAX,10/01/2018,13355.28027,120334900,0.739404297
DAX,11/01/2018,13281.2002,110577300,0.782998047
DAX,12/01/2018,13241.28027,87893300,-0.0375
DAX,15/01/2018,13244.37012,58326200,0.438603516
DAX,16/01/2018,13228.59961,85801600,-0.177304688
DAX,17/01/2018,13200.91992,88144100,0.169599609
DAX,18/01/2018,13250.25,89644100,-0.311796875
DAX,19/01/2018,13297.74023,108147200,-1.367099609
DAX,22/01/2018,13435.13965,95295700,-0.285507813
DAX,23/01/2018,13577.13965,97239000,0.175400391
DAX,24/01/2018,13572.70996,105385100,1.579697266
DAX,25/01/2018,13374.37988,106119200,0.760195313
DAX,26/01/2018,13297.50977,75829200,-0.426601563
DAX,29/01/2018,13358.90039,78822500,0.344199219
DAX,30/01/2018,13223.96973,115152700,0.262597656
DAX,31/01/2018,13210.75977,111852500,0.212792969
DAX,01/02/2018,13235.15039,122880100,2.3125
DAX,02/02/2018,12954.58984,140869300,1.694296875
DAX,05/02/2018,12687.79004,113937900,0.002998047
DAX,06/02/2018,12232.86035,204856800,-1.597998047
DAX,07/02/2018,12478.67969,153471100,-1.1175
DAX,08/02/2018,12506.17969,153991900,2.458896484
DAX,09/02/2018,12263.09961,175812900,1.556191406
DAX,12/02/2018,12238.62988,120024900,-0.441396484
DAX,13/02/2018,12282.75977,94601100,0.862597656
DAX,14/02/2018,12294.84961,130713000,-0.443105469
DAX,15/02/2018,12425.4502,111934900,0.792802734
DAX,16/02/2018,12408.48047,104230500,-0.434794922
DAX,19/02/2018,12495.07031,66917000,1.094707031
DAX,20/02/2018,12403.62988,87127600,-0.842705078
DAX,21/02/2018,12457.21973,83382600,-0.132705078
DAX,22/02/2018,12358.82031,104173000,-1.030898438
DAX,23/02/2018,12491.76953,97926500,0.079794922
DAX,26/02/2018,12566.0498,78303000,0.390097656
DAX,27/02/2018,12573.65039,89864600,0.829199219
DAX,28/02/2018,12427.45996,93391300,-0.083896484
DAX,01/03/2018,12386.40039,113680600,1.954599609
DAX,02/03/2018,12051.88965,120480800,1.381796875
DAX,05/03/2018,11831.57031,109920600,-2.592998047
DAX,06/03/2018,12229.29004,104517000,1.154199219
DAX,07/03/2018,12060.08984,92920300,-1.852705078
DAX,08/03/2018,12237.94043,97759800,-1.176298828
DAX,09/03/2018,12331.63965,96109700,-0.150400391
DAX,12/03/2018,12453.2998,136801400,0.349101563
DAX,13/03/2018,12425.69043,131887900,2.046601563
DAX,14/03/2018,12212.49023,104202200,-0.2525
DAX,15/03/2018,12284.13965,106658200,-0.614199219
DAX,16/03/2018,12345.55957,212840100,-0.440205078
DAX,19/03/2018,12346.50977,97309700,1.294902344
DAX,20/03/2018,12261.19043,72907500,-0.461396484
DAX,21/03/2018,12336.75977,108917200,0.27609375
DAX,22/03/2018,12187.73047,138428600,0.876503906
DAX,23/03/2018,11995.50977,145617800,1.092001953
DAX,26/03/2018,11919.63965,99857900,1.323798828
DAX,27/03/2018,11996.34961,98677800,0.255195313
DAX,28/03/2018,11868.08008,113396700,-0.726298828
DAX,29/03/2018,11956.33984,111589200,-1.40390625
DAX,03/04/2018,11997.46973,95226700,-0.049804688
DAX,04/04/2018,12000.46973,107305000,0.425693359
DAX,05/04/2018,12153.61035,109092300,-1.515800781
DAX,06/04/2018,12242.94043,87009100,0.016708984
DAX,09/04/2018,12311.01953,77287300,0.492695313
DAX,10/04/2018,12389.90039,99355700,-0.074199219
DAX,11/04/2018,12372.07031,98812700,0.781005859
DAX,12/04/2018,12282.38965,82053600,-1.326201172
DAX,13/04/2018,12461.30957,76693800,0.189091797
DAX,16/04/2018,12478.99023,62656800,0.875800781
DAX,17/04/2018,12443.2002,85350700,-1.423701172
DAX,18/04/2018,12597.58008,83029000,0.0675
DAX,19/04/2018,12595.61035,70668500,0.281904297
DAX,20/04/2018,12555.95996,111680200,0.154599609
DAX,23/04/2018,12538.16016,78154600,-0.342294922
DAX,24/04/2018,12602.41016,106073600,0.515898438
DAX,25/04/2018,12456.82031,108576800,0.345205078
DAX,26/04/2018,12395.90039,119856800,-1.045693359
DAX,27/04/2018,12572.71973,0,-0.081503906
DAX,30/04/2018,12606.26953,96521000,-0.058408203
DAX,02/05/2018,12610.78027,110911800,-1.914697266
DAX,03/05/2018,12775.66016,98817100,0.855097656
DAX,04/05/2018,12733.19043,99070000,-0.864091797
DAX,07/05/2018,12827.42969,64800000,-1.207099609
DAX,08/05/2018,12924.23047,95587900,0.120205078
DAX,09/05/2018,12917.82031,102677600,-0.252392578
DAX,10/05/2018,12975.08984,72155400,-0.477802734
DAX,11/05/2018,13023,83673800,0.217597656
DAX,14/05/2018,13009.83008,77168000,0.321201172
DAX,15/05/2018,12947.96973,106592400,-0.220703125
DAX,16/05/2018,12983.49023,104171700,-0.128398438
DAX,17/05/2018,12985.13965,92016400,-1.294707031
DAX,18/05/2018,13115.62988,124262900,0.379101563
DAX,22/05/2018,13132.55957,109116500,-0.373603516
DAX,23/05/2018,13138.83008,105439100,1.619902344
DAX,24/05/2018,12955.94043,143763000,1.008505859
DAX,25/05/2018,12917.15039,104044700,-0.20859375
DAX,28/05/2018,13016.5498,69766800,1.530898438
DAX,29/05/2018,12786.15039,153964500,1.19640625
DAX,30/05/2018,12693.33008,122609400,-0.904296875
DAX,31/05/2018,12796.16016,184309000,1.912705078
DAX,01/06/2018,12678.07031,123414600,-0.461992188
DAX,04/06/2018,12839.44043,84511600,0.686904297
DAX,05/06/2018,12766.16016,107898300,-0.209697266
DAX,06/06/2018,12813.38965,106976800,-0.166806641
DAX,07/06/2018,12877.84961,94068000,0.667998047
DAX,08/06/2018,12668.76953,115025300,-0.977802734
DAX,11/06/2018,12816.32031,108719300,-0.265898438
DAX,12/06/2018,12924.03027,100645600,0.817304688
DAX,13/06/2018,12857.16016,105696700,-0.334199219
DAX,14/06/2018,12806.07031,136091200,-3.010292969
DAX,15/06/2018,13115.84961,257670500,1.052998047
DAX,18/06/2018,12945.53027,89102600,1.114199219
DAX,19/06/2018,12647.07031,102502200,-0.308994141
DAX,20/06/2018,12731.66016,89617400,0.365
DAX,21/06/2018,12699.70996,111154800,1.877998047
DAX,22/06/2018,12507.71973,83725600,-0.72
DAX,25/06/2018,12497.48047,98566500,2.271503906
DAX,26/06/2018,12333.44043,62457100,0.991005859
DAX,27/06/2018,12247.75,127889100,-1.008603516
DAX,28/06/2018,12289.80957,107207500,1.125791016
DAX,29/06/2018,12322.63965,114043400,0.166396484
DAX,02/07/2018,12147.94043,93436600,-0.902294922
DAX,03/07/2018,12321.07031,93526400,-0.280693359
DAX,04/07/2018,12323.75,78417600,0.061396484
DAX,05/07/2018,12363.0498,114460400,-1.012402344
DAX,06/07/2018,12506.26953,0,0.100996094
DAX,09/07/2018,12541.74023,74724300,-0.021494141
DAX,10/07/2018,12580.30957,81853500,-0.295400391
DAX,11/07/2018,12506.99023,84350300,0.898603516
DAX,12/07/2018,12464.05957,72314800,-0.289101563
DAX,13/07/2018,12549.23047,0,0.085
DAX,16/07/2018,12530.98047,97107500,-0.300390625
DAX,17/07/2018,12566.96973,91976300,-0.945703125
DAX,18/07/2018,12728.41016,87635000,-0.375302734
DAX,19/07/2018,12740.67969,75493900,0.543896484
DAX,20/07/2018,12664.4502,106490300,1.030302734
DAX,23/07/2018,12510.23047,65205400,-0.383398438
DAX,24/07/2018,12590.79004,90068800,-0.985996094
DAX,25/07/2018,12685.67969,80817800,1.063496094
DAX,26/07/2018,12732.87988,105931000,-0.763505859
DAX,27/07/2018,12825.75,95634400,-0.346503906
DAX,30/07/2018,12822.87012,70725000,0.246699219
DAX,31/07/2018,12809.74023,106509800,0.042402344
DAX,01/08/2018,12826.7002,93510500,0.896503906
DAX,02/08/2018,12617.62988,103271900,0.712998047
DAX,03/08/2018,12572.61035,79345300,-0.431494141
DAX,06/08/2018,12631.40039,65599400,0.331904297
DAX,07/08/2018,12656.87012,87114600,0.086796875
DAX,08/08/2018,12622.98047,89371000,-0.105595703
DAX,09/08/2018,12623.13965,71701900,-0.529707031
DAX,10/08/2018,12574.2002,0,1.498505859
DAX,13/08/2018,12346.75,92773600,-0.119902344
DAX,14/08/2018,12444.62988,82021800,0.857597656
DAX,15/08/2018,12400.26953,99703000,2.372597656
DAX,16/08/2018,12202.12988,81469900,-0.350400391
DAX,17/08/2018,12242.05957,86038300,0.315097656
DAX,20/08/2018,12263.00977,59670900,-0.682900391
DAX,21/08/2018,12320.55957,68597400,-0.639306641
DAX,22/08/2018,12355.53027,77192800,-0.301699219
DAX,23/08/2018,12367.48047,63669000,0.019003906
DAX,24/08/2018,12396.69043,59051400,0.021708984
DAX,27/08/2018,12462.75,52201900,-0.755595703
DAX,28/08/2018,12578.65039,72899400,0.512304688
DAX,29/08/2018,12553.86035,58192500,-0.078193359
DAX,30/08/2018,12516.5498,73686200,0.223095703
DAX,31/08/2018,12418.25977,90277000,0.542001953
DAX,03/09/2018,12338.36035,50769600,-0.080498047
DAX,04/09/2018,12389.45996,84476300,1.7925
DAX,05/09/2018,12161.65039,109489900,1.211904297
DAX,06/09/2018,11995.80957,87442600,0.405595703
DAX,07/09/2018,11960.09961,101789700,0.004697266
DAX,10/09/2018,11950.5498,80490500,-0.357900391
DAX,11/09/2018,12013.00977,0,0.427402344
DAX,12/09/2018,11989.26953,112286500,-0.430302734
DAX,13/09/2018,12036.79004,97093400,-0.187597656
DAX,14/09/2018,12109.37012,77747100,-0.149599609
DAX,17/09/2018,12056.37988,69270000,-0.400302734
DAX,18/09/2018,12097.19043,84144700,-0.604794922
DAX,19/09/2018,12168.2002,98540100,-0.508193359
DAX,20/09/2018,12210.9502,110135400,-1.155302734
DAX,21/09/2018,12402.71973,400165400,-0.281601563
DAX,24/09/2018,12383.41992,0,0.325996094
DAX,25/09/2018,12341.84961,83206800,-0.328105469
DAX,26/09/2018,12395.2002,74964500,0.093105469
DAX,27/09/2018,12329.40039,89854700,-1.061894531
DAX,28/09/2018,12381.36035,110639600,1.346298828
DAX,01/10/2018,12265.88965,76918300,-0.73140625
DAX,02/10/2018,12229.07031,82307700,-0.585097656
DAX,04/10/2018,12275.07031,101177000,0.309306641
DAX,05/10/2018,12236.29004,94036400,1.243896484
DAX,08/10/2018,12044.95996,77268800,0.977998047
DAX,09/10/2018,11963.62988,77186000,-0.135898438
DAX,10/10/2018,11976.7002,0,2.642001953
DAX,11/10/2018,11558.98047,142293600,0.196308594
DAX,12/10/2018,11691.46973,99171000,1.676601563
DAX,15/10/2018,11523.80957,71968200,-0.903505859
DAX,16/10/2018,11637.62012,85693600,-1.389296875
DAX,17/10/2018,11811.46973,93600200,0.964394531
DAX,18/10/2018,11695.19043,97180800,1.059804688
DAX,19/10/2018,11578.84961,128743800,0.250195313
DAX,22/10/2018,11665.67969,73772600,1.413398438
DAX,23/10/2018,11367.57031,115195200,0.932900391
DAX,24/10/2018,11298.65039,117472700,1.070205078
DAX,25/10/2018,11098.67969,0,-2.084404297
DAX,26/10/2018,11180.95996,138702800,-0.196601563
DAX,29/10/2018,11270.66992,98716300,-0.648105469
DAX,30/10/2018,11391.78027,99304800,1.04390625
DAX,31/10/2018,11417.08984,127284000,-0.304199219
DAX,01/11/2018,11419.61035,98851100,-0.489296875
