Stockname,Date,Open,High,Low,Close,Adj Close,Volume,Volatility,R,Returns
DAX,02/01/2018,12897.69043,12924.16016,12745.15039,12871.38965,12871.38965,86049300,0.013947603,,
DAX,03/01/2018,12916.17969,13023.58984,12893.0498,12978.20996,12978.20996,84809300,0.010073925,0.00829905,0.829905029
DAX,04/01/2018,13065.98047,13208.34961,13062.66992,13167.88965,13167.88965,101199400,0.011090638,0.01461524,1.461524283
DAX,05/01/2018,13219.11035,13332.7998,13219.11035,13319.63965,13319.63965,112555000,0.008563613,0.01152425,1.152424603
DAX,08/01/2018,13399.62012,13407.82031,13334.16016,13367.78027,13367.78027,95005300,0.005508966,0.00361426,0.361425844
DAX,09/01/2018,13383.25977,13425.01953,13361.21973,13385.58984,13385.58984,94770400,0.004763634,0.00133228,0.133227579
DAX,10/01/2018,13355.28027,13377.87988,13227.57031,13281.33984,13281.33984,120334900,0.011299277,-0.00778823,-0.778822609
DAX,11/01/2018,13281.2002,13298.65039,13151.83984,13202.90039,13202.90039,110577300,0.011100895,-0.00590599,-0.590598923
DAX,12/01/2018,13241.28027,13265.13965,13168.00977,13245.03027,13245.03027,87893300,0.007349129,0.00319096,0.319095644
DAX,15/01/2018,13244.37012,13250.37012,13173.70996,13200.50977,13200.50977,58326200,0.005802312,-0.00336130,-0.336129847
DAX,16/01/2018,13228.59961,13351.08984,13196.55957,13246.33008,13246.33008,85801600,0.01164186,0.00347110,0.347110156
DAX,17/01/2018,13200.91992,13251.44043,13137.50977,13183.95996,13183.95996,88144100,0.008634778,-0.00470848,-0.4708483
DAX,18/01/2018,13250.25,13293.29004,13201.33984,13281.42969,13281.42969,89644100,0.006941072,0.00739305,0.739305416
DAX,19/01/2018,13297.74023,13445.46973,13294.80957,13434.4502,13434.4502,108147200,0.011268525,0.01152139,1.15213884
DAX,22/01/2018,13435.13965,13470.0498,13410.95996,13463.69043,13463.69043,95295700,0.004396407,0.00217651,0.21765111
DAX,23/01/2018,13577.13965,13596.88965,13517.80957,13559.59961,13559.59961,97239000,0.005833021,0.00712354,0.712354317
DAX,24/01/2018,13572.70996,13576.83984,13414.74023,13414.74023,13414.74023,105385100,0.012011269,-0.01068316,-1.068316058
DAX,25/01/2018,13374.37988,13443.36035,13222.46973,13298.36035,13298.36035,106119200,0.016567695,-0.00867552,-0.867552245
DAX,26/01/2018,13297.50977,13348.69043,13268.30957,13340.16992,13340.16992,75829200,0.006039832,0.00314396,0.314396429
DAX,29/01/2018,13358.90039,13370.01953,13274.83984,13324.48047,13324.48047,78822500,0.00714435,-0.00117611,-0.117610571
DAX,30/01/2018,13223.96973,13309.86035,13171.91016,13197.70996,13197.70996,115152700,0.010418596,-0.00951411,-0.951410528
DAX,31/01/2018,13210.75977,13268.41016,13159.34961,13189.48047,13189.48047,111852500,0.008253531,-0.00062355,-0.062355439
DAX,01/02/2018,13235.15039,13301.41016,12971.78027,13003.90039,13003.90039,122880100,0.025093807,-0.01407031,-1.407031008
DAX,02/02/2018,12954.58984,12954.58984,12782.07031,12785.16016,12785.16016,140869300,0.013406721,-0.01682112,-1.68211247
DAX,05/02/2018,12687.79004,12752.59961,12622.44043,12687.49023,12687.49023,113937900,0.010258925,-0.00763932,-0.763932002
DAX,06/02/2018,12232.86035,12550.16016,12232.86035,12392.66016,12392.66016,204856800,0.025607625,-0.02323786,-2.323785592
DAX,07/02/2018,12478.67969,12651.28027,12414.83984,12590.42969,12590.42969,153471100,0.018865899,0.01595860,1.59586019
DAX,08/02/2018,12506.17969,12541.32031,12187.4502,12260.29004,12260.29004,153991900,0.028622067,-0.02622148,-2.6221476
DAX,09/02/2018,12263.09961,12296.17969,12003.36035,12107.48047,12107.48047,175812900,0.02410198,-0.01246378,-1.2463781
DAX,12/02/2018,12238.62988,12379.16016,12222.33984,12282.76953,12282.76953,120024900,0.012749015,0.01447775,1.447774873
DAX,13/02/2018,12282.75977,12300.62988,12196.21973,12196.5,12196.5,94601100,0.008524425,-0.00702362,-0.702362198
DAX,14/02/2018,12294.84961,12393.70996,12075.20996,12339.16016,12339.16016,130713000,0.026034495,0.01169681,1.169681138
DAX,15/02/2018,12425.4502,12479.96973,12275.04004,12346.16992,12346.16992,111934900,0.016557002,0.00056809,0.056809053
DAX,16/02/2018,12408.48047,12484.12012,12368.70996,12451.95996,12451.95996,104230500,0.009287553,0.00856865,0.856865252
DAX,19/02/2018,12495.07031,12505.49023,12361.86035,12385.59961,12385.59961,66917000,0.011551812,-0.00532931,-0.532930962
DAX,20/02/2018,12403.62988,12496.09961,12333.79004,12487.90039,12487.90039,87127600,0.013073911,0.00825966,0.825965502
DAX,21/02/2018,12457.21973,12474.37012,12372.25977,12470.49023,12470.49023,83382600,0.008219298,-0.00139416,-0.139416231
