Stockname,Date,Open,High,Low,Close,Adj Close,Volume,Returns
DAX,02/01/2018,12897.69043,12924.16016,12745.15039,12871.38965,12871.38965,86049300,0.263007813
DAX,03/01/2018,12916.17969,13023.58984,12893.0498,12978.20996,12978.20996,84809300,-0.620302734
DAX,04/01/2018,13065.98047,13208.34961,13062.66992,13167.88965,13167.88965,101199400,-1.019091797
DAX,05/01/2018,13219.11035,13332.7998,13219.11035,13319.63965,13319.63965,112555000,-1.005292969
DAX,08/01/2018,13399.62012,13407.82031,13334.16016,13367.78027,13367.78027,95005300,0.318398438
DAX,09/01/2018,13383.25977,13425.01953,13361.21973,13385.58984,13385.58984,94770400,-0.023300781
DAX,10/01/2018,13355.28027,13377.87988,13227.57031,13281.33984,13281.33984,120334900,0.739404297
DAX,11/01/2018,13281.2002,13298.65039,13151.83984,13202.90039,13202.90039,110577300,0.782998047
DAX,12/01/2018,13241.28027,13265.13965,13168.00977,13245.03027,13245.03027,87893300,-0.0375
DAX,15/01/2018,13244.37012,13250.37012,13173.70996,13200.50977,13200.50977,58326200,0.438603516
DAX,16/01/2018,13228.59961,13351.08984,13196.55957,13246.33008,13246.33008,85801600,-0.177304688
DAX,17/01/2018,13200.91992,13251.44043,13137.50977,13183.95996,13183.95996,88144100,0.169599609
DAX,18/01/2018,13250.25,13293.29004,13201.33984,13281.42969,13281.42969,89644100,-0.311796875
DAX,19/01/2018,13297.74023,13445.46973,13294.80957,13434.4502,13434.4502,108147200,-1.367099609
DAX,22/01/2018,13435.13965,13470.0498,13410.95996,13463.69043,13463.69043,95295700,-0.285507813
DAX,23/01/2018,13577.13965,13596.88965,13517.80957,13559.59961,13559.59961,97239000,0.175400391
DAX,24/01/2018,13572.70996,13576.83984,13414.74023,13414.74023,13414.74023,105385100,1.579697266
DAX,25/01/2018,13374.37988,13443.36035,13222.46973,13298.36035,13298.36035,106119200,0.760195313
DAX,26/01/2018,13297.50977,13348.69043,13268.30957,13340.16992,13340.16992,75829200,-0.426601563
DAX,29/01/2018,13358.90039,13370.01953,13274.83984,13324.48047,13324.48047,78822500,0.344199219
DAX,30/01/2018,13223.96973,13309.86035,13171.91016,13197.70996,13197.70996,115152700,0.262597656
DAX,31/01/2018,13210.75977,13268.41016,13159.34961,13189.48047,13189.48047,111852500,0.212792969
