Stockname,Date,Volume
DAX,02/01/2018,341130000
DAX,03/01/2018,456790000
DAX,04/01/2018,403280000
DAX,05/01/2018,358020000
DAX,08/01/2018,341390000
DAX,09/01/2018,333490000
DAX,10/01/2018,341470000
DAX,11/01/2018,346830000
DAX,12/01/2018,376390000
DAX,16/01/2018,606520000
DAX,17/01/2018,522720000
DAX,18/01/2018,492780000
DAX,19/01/2018,585000000
DAX,22/01/2018,431200000
DAX,23/01/2018,433490000
DAX,24/01/2018,518790000
DAX,25/01/2018,401390000
DAX,26/01/2018,477780000
DAX,29/01/2018,421000000
DAX,30/01/2018,448330000
DAX,31/01/2018,479130000
DAX,01/02/2018,410620000
DAX,02/02/2018,522880000
DAX,05/02/2018,714450000
DAX,06/02/2018,823940000
DAX,07/02/2018,504620000
DAX,08/02/2018,657500000
DAX,09/02/2018,735030000
DAX,12/02/2018,496610000
DAX,13/02/2018,374410000
DAX,14/02/2018,431160000
DAX,15/02/2018,416780000
DAX,16/02/2018,406730000
DAX,20/02/2018,421510000
DAX,21/02/2018,456070000
DAX,22/02/2018,378900000
DAX,23/02/2018,335420000
DAX,26/02/2018,473360000
DAX,27/02/2018,438390000
DAX,28/02/2018,451870000
DAX,01/03/2018,506280000
DAX,02/03/2018,437130000
DAX,05/03/2018,383910000
DAX,06/03/2018,331770000
DAX,07/03/2018,394070000
DAX,08/03/2018,327300000
DAX,09/03/2018,371570000
DAX,12/03/2018,362580000
DAX,13/03/2018,447880000
DAX,14/03/2018,356830000
DAX,15/03/2018,316310000
DAX,16/03/2018,654240000
DAX,19/03/2018,377990000
DAX,20/03/2018,342510000
DAX,21/03/2018,343230000
DAX,22/03/2018,439280000
DAX,23/03/2018,482550000
DAX,26/03/2018,479540000
DAX,27/03/2018,524480000
DAX,28/03/2018,530040000
DAX,29/03/2018,463550000
DAX,02/04/2018,509820000
DAX,03/04/2018,394130000
DAX,04/04/2018,388540000
DAX,05/04/2018,347790000
DAX,06/04/2018,395990000
DAX,09/04/2018,380790000
DAX,10/04/2018,368590000
DAX,11/04/2018,286360000
DAX,12/04/2018,336130000
DAX,13/04/2018,331890000
DAX,16/04/2018,305070000
DAX,17/04/2018,342410000
DAX,18/04/2018,302030000
DAX,19/04/2018,381110000
DAX,20/04/2018,537770000
DAX,23/04/2018,351030000
DAX,24/04/2018,468180000
DAX,25/04/2018,437100000
DAX,26/04/2018,390360000
DAX,27/04/2018,392810000
DAX,30/04/2018,416650000
DAX,01/05/2018,380070000
DAX,02/05/2018,385350000
DAX,03/05/2018,389240000
DAX,04/05/2018,329480000
DAX,07/05/2018,307670000
DAX,08/05/2018,344940000
DAX,09/05/2018,361580000
DAX,10/05/2018,304210000
DAX,11/05/2018,274150000
DAX,14/05/2018,282860000
DAX,15/05/2018,301900000
DAX,16/05/2018,280810000
DAX,17/05/2018,314650000
DAX,18/05/2018,269700000
DAX,21/05/2018,308920000
DAX,22/05/2018,288200000
DAX,23/05/2018,399610000
DAX,24/05/2018,347050000
DAX,25/05/2018,257210000
DAX,29/05/2018,395810000
DAX,30/05/2018,324870000
DAX,31/05/2018,429740000
DAX,01/06/2018,315710000
DAX,04/06/2018,340400000
DAX,05/06/2018,306340000
DAX,06/06/2018,316090000
DAX,07/06/2018,357680000
DAX,08/06/2018,317510000
DAX,11/06/2018,276740000
DAX,12/06/2018,265750000
DAX,13/06/2018,329700000
DAX,14/06/2018,341170000
DAX,15/06/2018,659370000
DAX,18/06/2018,337070000
DAX,19/06/2018,376380000
DAX,20/06/2018,359520000
DAX,21/06/2018,349570000
DAX,22/06/2018,473970000
DAX,25/06/2018,439130000
DAX,26/06/2018,301130000
DAX,27/06/2018,313790000
DAX,28/06/2018,305020000
DAX,29/06/2018,329070000
DAX,02/07/2018,244110000
DAX,03/07/2018,160960000
DAX,05/07/2018,237670000
DAX,06/07/2018,219450000
DAX,09/07/2018,240580000
DAX,10/07/2018,235040000
DAX,11/07/2018,237370000
DAX,12/07/2018,233150000
DAX,13/07/2018,255520000
DAX,16/07/2018,231270000
DAX,17/07/2018,250450000
DAX,18/07/2018,252870000
DAX,19/07/2018,285760000
DAX,20/07/2018,274080000
DAX,23/07/2018,228820000
DAX,24/07/2018,274940000
DAX,25/07/2018,273670000
DAX,26/07/2018,297530000
DAX,27/07/2018,329680000
DAX,30/07/2018,296880000
DAX,31/07/2018,348700000
DAX,01/08/2018,315880000
DAX,02/08/2018,307700000
DAX,03/08/2018,239020000
DAX,06/08/2018,238990000
DAX,07/08/2018,239910000
DAX,08/08/2018,217770000
DAX,09/08/2018,214970000
DAX,10/08/2018,234480000
DAX,13/08/2018,219990000
DAX,14/08/2018,219210000
DAX,15/08/2018,295810000
DAX,16/08/2018,342430000
DAX,17/08/2018,284160000
DAX,20/08/2018,248570000
DAX,21/08/2018,241620000
DAX,22/08/2018,200480000
DAX,23/08/2018,213270000
DAX,24/08/2018,200330000
DAX,27/08/2018,220510000
DAX,28/08/2018,211470000
DAX,29/08/2018,214960000
DAX,30/08/2018,240440000
DAX,31/08/2018,273440000
DAX,04/09/2018,254600000
DAX,05/09/2018,289210000
DAX,06/09/2018,262380000
DAX,07/09/2018,281350000
DAX,10/09/2018,252170000
DAX,11/09/2018,265960000
DAX,12/09/2018,282770000
DAX,13/09/2018,260800000
DAX,14/09/2018,228640000
DAX,17/09/2018,230230000
DAX,18/09/2018,243000000
DAX,19/09/2018,251330000
DAX,20/09/2018,260480000
DAX,21/09/2018,657620000
DAX,24/09/2018,254850000
DAX,25/09/2018,234110000
DAX,26/09/2018,262620000
DAX,27/09/2018,226350000
DAX,28/09/2018,264030000
DAX,01/10/2018,238320000
DAX,02/10/2018,258290000
DAX,03/10/2018,280130000
DAX,04/10/2018,289600000
DAX,05/10/2018,267100000
DAX,08/10/2018,273020000
DAX,09/10/2018,282560000
DAX,10/10/2018,438200000
DAX,11/10/2018,522880000
DAX,12/10/2018,397510000
DAX,15/10/2018,287320000
DAX,16/10/2018,305800000
DAX,17/10/2018,298210000
DAX,18/10/2018,328020000
DAX,19/10/2018,350810000
DAX,22/10/2018,314940000
DAX,23/10/2018,436430000
DAX,24/10/2018,496400000
DAX,25/10/2018,439670000
DAX,26/10/2018,505310000
DAX,29/10/2018,443850000
DAX,30/10/2018,470050000
DAX,31/10/2018,448930000
DAX,01/11/2018,383970000
DAX,02/11/2018,429480000
DAX,05/11/2018,334740000
DAX,06/11/2018,265450000
DAX,07/11/2018,361780000
DAX,08/11/2018,295650000
DAX,09/11/2018,324450000
DAX,12/11/2018,346910000
DAX,13/11/2018,339690000
DAX,14/11/2018,384240000
DAX,15/11/2018,392750000
DAX,16/11/2018,354460000
DAX,19/11/2018,358090000
DAX,20/11/2018,445920000
DAX,21/11/2018,289370000
DAX,23/11/2018,155940000
DAX,26/11/2018,306280000
DAX,27/11/2018,308250000
DAX,28/11/2018,362160000
DAX,29/11/2018,305110000
DAX,30/11/2018,482250000
DAX,03/12/2018,388480000
DAX,04/12/2018,418900000
DAX,06/12/2018,471690000
DAX,07/12/2018,398230000
DAX,10/12/2018,389690000
DAX,11/12/2018,342960000
DAX,12/12/2018,344330000
DAX,13/12/2018,299970000
DAX,14/12/2018,416940000
DAX,17/12/2018,466740000
DAX,18/12/2018,408070000
