Stockname,Date,Open
DAX,02/01/2018,24809.34961
DAX,03/01/2018,24850.44922
DAX,04/01/2018,24964.85938
DAX,05/01/2018,25114.91992
DAX,08/01/2018,25308.40039
DAX,09/01/2018,25312.05078
DAX,10/01/2018,25348.13086
DAX,11/01/2018,25398.59961
DAX,12/01/2018,25638.39063
DAX,16/01/2018,25987.61914
DAX,17/01/2018,25910.7793
DAX,18/01/2018,26149.55078
DAX,19/01/2018,25987.34961
DAX,22/01/2018,26025.32031
DAX,23/01/2018,26214.86914
DAX,24/01/2018,26282.07031
DAX,25/01/2018,26313.06055
DAX,26/01/2018,26466.74023
DAX,29/01/2018,26584.2793
DAX,30/01/2018,26198.44922
DAX,31/01/2018,26268.16992
DAX,01/02/2018,26083.03906
DAX,02/02/2018,26061.78906
DAX,05/02/2018,25337.86914
DAX,06/02/2018,24085.16992
DAX,07/02/2018,24892.86914
DAX,08/02/2018,24902.30078
DAX,09/02/2018,23992.66992
DAX,12/02/2018,24337.75977
DAX,13/02/2018,24540.33008
DAX,14/02/2018,24535.82031
DAX,15/02/2018,25047.82031
DAX,16/02/2018,25165.93945
DAX,20/02/2018,25124.91016
DAX,21/02/2018,24988.06055
DAX,22/02/2018,24855.41016
DAX,23/02/2018,25050.50977
DAX,26/02/2018,25403.34961
DAX,27/02/2018,25735.7793
DAX,28/02/2018,25485.15039
DAX,01/03/2018,25024.03906
DAX,02/03/2018,24394.91016
DAX,05/03/2018,24471.31055
DAX,06/03/2018,24965.89063
DAX,07/03/2018,24758.15039
DAX,08/03/2018,24853.41016
DAX,09/03/2018,25004.89063
DAX,12/03/2018,25372.43945
DAX,13/03/2018,25257.75
DAX,14/03/2018,25086.9707
DAX,15/03/2018,24837.28906
DAX,16/03/2018,24877.33984
DAX,19/03/2018,24893.68945
DAX,20/03/2018,24650.64063
DAX,21/03/2018,24723.49023
DAX,22/03/2018,24526.00977
DAX,23/03/2018,23995.17969
DAX,26/03/2018,23825.74023
DAX,27/03/2018,24276.61914
DAX,28/03/2018,23883.08008
DAX,29/03/2018,23949.17969
DAX,02/04/2018,24076.59961
DAX,03/04/2018,23698.33008
DAX,04/04/2018,23654.15039
DAX,05/04/2018,24313.91016
DAX,06/04/2018,24373.59961
DAX,09/04/2018,24037.51953
DAX,10/04/2018,24198.94922
DAX,11/04/2018,24274.18945
DAX,12/04/2018,24302.82031
DAX,13/04/2018,24582.82031
DAX,16/04/2018,24483.15039
DAX,17/04/2018,24681.78906
DAX,18/04/2018,24820.84961
DAX,19/04/2018,24711.30078
DAX,20/04/2018,24657.39063
DAX,23/04/2018,24488.07031
DAX,24/04/2018,24579.93945
DAX,25/04/2018,24070.19922
DAX,26/04/2018,24128.7207
DAX,27/04/2018,24342.14063
DAX,30/04/2018,24410.41016
DAX,01/05/2018,24117.28906
DAX,02/05/2018,24097.63086
DAX,03/05/2018,23836.23047
DAX,04/05/2018,23865.2207
DAX,07/05/2018,24317.66016
DAX,08/05/2018,24341.34961
DAX,09/05/2018,24399.17969
DAX,10/05/2018,24591.66016
DAX,11/05/2018,24758.64063
DAX,14/05/2018,24879.36914
DAX,15/05/2018,24809.55078
DAX,16/05/2018,24722.32031
DAX,17/05/2018,24752.40039
DAX,18/05/2018,24707.7207
DAX,21/05/2018,24883.06055
DAX,22/05/2018,25047.55078
DAX,23/05/2018,24757.71094
DAX,24/05/2018,24877.35938
DAX,25/05/2018,24781.28906
DAX,29/05/2018,24606.58984
DAX,30/05/2018,24467.83008
DAX,31/05/2018,24620.78906
DAX,01/06/2018,24542.08984
DAX,04/06/2018,24727.55078
DAX,05/06/2018,24820.11914
DAX,06/06/2018,24854.14063
DAX,07/06/2018,25192.14063
DAX,08/06/2018,25209.28906
DAX,11/06/2018,25336.66992
DAX,12/06/2018,25346.82031
DAX,13/06/2018,25328.65039
DAX,14/06/2018,25254.65039
DAX,15/06/2018,25116.71094
DAX,18/06/2018,24944.2793
DAX,19/06/2018,24763.58984
DAX,20/06/2018,24771.16992
DAX,21/06/2018,24639.21094
DAX,22/06/2018,24526.9707
DAX,25/06/2018,24463.73047
DAX,26/06/2018,24281.89063
DAX,27/06/2018,24303.10938
DAX,28/06/2018,24064.18945
DAX,29/06/2018,24323.92969
DAX,02/07/2018,24161.5293
DAX,03/07/2018,24359.39063
DAX,05/07/2018,24285.82031
DAX,06/07/2018,24352.4707
DAX,09/07/2018,24519.19922
DAX,10/07/2018,24806.9707
DAX,11/07/2018,24789.48047
DAX,12/07/2018,24802.90039
DAX,13/07/2018,24926.07031
DAX,16/07/2018,25025.58008
DAX,17/07/2018,25033.91992
DAX,18/07/2018,25133.78906
DAX,19/07/2018,25139.15039
DAX,20/07/2018,25041.14063
DAX,23/07/2018,25036.90039
DAX,24/07/2018,25092.42969
DAX,25/07/2018,25183.69922
DAX,26/07/2018,25468.55078
DAX,27/07/2018,25520.51953
DAX,30/07/2018,25439.32031
DAX,31/07/2018,25345.21094
