areaCode,areaName,areaType,date,newCasesBySpecimenDate
K02000001,United Kingdom,overview,2022-01-05,41793
K02000001,United Kingdom,overview,2022-01-04,142625
K02000001,United Kingdom,overview,2022-01-03,181289
K02000001,United Kingdom,overview,2022-01-02,156954
K02000001,United Kingdom,overview,2022-01-01,105417
K02000001,United Kingdom,overview,2021-12-31,165528
K02000001,United Kingdom,overview,2021-12-30,210667
K02000001,United Kingdom,overview,2021-12-29,244482
K02000001,United Kingdom,overview,2021-12-28,192346
K02000001,United Kingdom,overview,2021-12-27,177262
K02000001,United Kingdom,overview,2021-12-26,106171
K02000001,United Kingdom,overview,2021-12-25,64635
K02000001,United Kingdom,overview,2021-12-24,124977
K02000001,United Kingdom,overview,2021-12-23,145466
K02000001,United Kingdom,overview,2021-12-22,146224
K02000001,United Kingdom,overview,2021-12-21,136078
K02000001,United Kingdom,overview,2021-12-20,122011
K02000001,United Kingdom,overview,2021-12-19,81685
K02000001,United Kingdom,overview,2021-12-18,81560
K02000001,United Kingdom,overview,2021-12-17,87820
K02000001,United Kingdom,overview,2021-12-16,97241
K02000001,United Kingdom,overview,2021-12-15,103631
K02000001,United Kingdom,overview,2021-12-14,95137
K02000001,United Kingdom,overview,2021-12-13,81849
K02000001,United Kingdom,overview,2021-12-12,50544
K02000001,United Kingdom,overview,2021-12-11,46525
K02000001,United Kingdom,overview,2021-12-10,50368
K02000001,United Kingdom,overview,2021-12-09,54779
K02000001,United Kingdom,overview,2021-12-08,56586
K02000001,United Kingdom,overview,2021-12-07,54310
K02000001,United Kingdom,overview,2021-12-06,57866
K02000001,United Kingdom,overview,2021-12-05,39938
K02000001,United Kingdom,overview,2021-12-04,37816
K02000001,United Kingdom,overview,2021-12-03,44637
K02000001,United Kingdom,overview,2021-12-02,49226
K02000001,United Kingdom,overview,2021-12-01,53598
K02000001,United Kingdom,overview,2021-11-30,54505
K02000001,United Kingdom,overview,2021-11-29,55058
K02000001,United Kingdom,overview,2021-11-28,38898
K02000001,United Kingdom,overview,2021-11-27,32663
K02000001,United Kingdom,overview,2021-11-26,38566
K02000001,United Kingdom,overview,2021-11-25,42536
K02000001,United Kingdom,overview,2021-11-24,45821
K02000001,United Kingdom,overview,2021-11-23,47295
K02000001,United Kingdom,overview,2021-11-22,49773
K02000001,United Kingdom,overview,2021-11-21,36503
K02000001,United Kingdom,overview,2021-11-20,34658
K02000001,United Kingdom,overview,2021-11-19,38914
K02000001,United Kingdom,overview,2021-11-18,43214
K02000001,United Kingdom,overview,2021-11-17,45026
K02000001,United Kingdom,overview,2021-11-16,45441
K02000001,United Kingdom,overview,2021-11-15,49970
K02000001,United Kingdom,overview,2021-11-14,34795
K02000001,United Kingdom,overview,2021-11-13,32323
K02000001,United Kingdom,overview,2021-11-12,37001
K02000001,United Kingdom,overview,2021-11-11,40225
K02000001,United Kingdom,overview,2021-11-10,42092
K02000001,United Kingdom,overview,2021-11-09,41437
K02000001,United Kingdom,overview,2021-11-08,43295
K02000001,United Kingdom,overview,2021-11-07,29975
K02000001,United Kingdom,overview,2021-11-06,26946
K02000001,United Kingdom,overview,2021-11-05,29735
K02000001,United Kingdom,overview,2021-11-04,32342
K02000001,United Kingdom,overview,2021-11-03,35021
K02000001,United Kingdom,overview,2021-11-02,37120
K02000001,United Kingdom,overview,2021-11-01,44204
K02000001,United Kingdom,overview,2021-10-31,34126
K02000001,United Kingdom,overview,2021-10-30,33012
K02000001,United Kingdom,overview,2021-10-29,39529
K02000001,United Kingdom,overview,2021-10-28,40645
K02000001,United Kingdom,overview,2021-10-27,42270
K02000001,United Kingdom,overview,2021-10-26,41411
K02000001,United Kingdom,overview,2021-10-25,46636
K02000001,United Kingdom,overview,2021-10-24,35137
K02000001,United Kingdom,overview,2021-10-23,34539
K02000001,United Kingdom,overview,2021-10-22,39979
K02000001,United Kingdom,overview,2021-10-21,44420
K02000001,United Kingdom,overview,2021-10-20,50823
K02000001,United Kingdom,overview,2021-10-19,51576
K02000001,United Kingdom,overview,2021-10-18,56702
K02000001,United Kingdom,overview,2021-10-17,42975
K02000001,United Kingdom,overview,2021-10-16,37278
K02000001,United Kingdom,overview,2021-10-15,42866
K02000001,United Kingdom,overview,2021-10-14,45618
K02000001,United Kingdom,overview,2021-10-13,46979
K02000001,United Kingdom,overview,2021-10-12,47487
K02000001,United Kingdom,overview,2021-10-11,49450
K02000001,United Kingdom,overview,2021-10-10,35817
K02000001,United Kingdom,overview,2021-10-09,31719
K02000001,United Kingdom,overview,2021-10-08,34994
K02000001,United Kingdom,overview,2021-10-07,37853
K02000001,United Kingdom,overview,2021-10-06,38608
K02000001,United Kingdom,overview,2021-10-05,38609
K02000001,United Kingdom,overview,2021-10-04,43060
K02000001,United Kingdom,overview,2021-10-03,31494
K02000001,United Kingdom,overview,2021-10-02,25889
K02000001,United Kingdom,overview,2021-10-01,28624
K02000001,United Kingdom,overview,2021-09-30,32012
K02000001,United Kingdom,overview,2021-09-29,34283
K02000001,United Kingdom,overview,2021-09-28,35905
K02000001,United Kingdom,overview,2021-09-27,40891
K02000001,United Kingdom,overview,2021-09-26,31510
K02000001,United Kingdom,overview,2021-09-25,28135
K02000001,United Kingdom,overview,2021-09-24,31604
K02000001,United Kingdom,overview,2021-09-23,35205
K02000001,United Kingdom,overview,2021-09-22,36134
K02000001,United Kingdom,overview,2021-09-21,38238
K02000001,United Kingdom,overview,2021-09-20,40101
K02000001,United Kingdom,overview,2021-09-19,30539
K02000001,United Kingdom,overview,2021-09-18,26295
K02000001,United Kingdom,overview,2021-09-17,29042
